ClusteringCoefficient,Dataset
0.487651,Breast
0.446996,Breast
0.389205,Breast
0.374655,Breast
0.376774,Breast
0.455318,Breast
0.536098,Breast
0.398495,Breast
0.485647,Breast
0.398936,Breast
0.738964,Breast
0.396565,Breast
0.705253,Breast
0.522571,Breast
0.581826,Breast
0.390545,Breast
0.472772,Breast
0.567931,Breast
0.454293,Breast
0.694553,Breast
0.538249,Breast
0.460066,Breast
0.355761,Breast
0.488057,Breast
0.451190,Breast
0.359791,Breast
0.400511,Breast
0.632293,Breast
0.347387,Breast
0.439813,Breast
0.353523,Breast
0.219780,Breast
0.402437,Breast
0.849703,Breast
0.268775,Breast
0.362686,Breast
0.341439,Breast
0.451261,Breast
0.447378,Breast
0.374957,Breast
0.389558,Breast
0.256684,Breast
0.448283,Breast
0.274171,Breast
0.476289,Breast
0.444941,Breast
0.510319,Breast
0.569920,Breast
0.542541,Breast
0.368613,Breast
0.488118,Breast
0.646552,Breast
0.370918,Breast
0.416642,Breast
0.243590,Breast
0.535848,Breast
0.681738,Breast
0.643121,Breast
0.762574,Breast
0.818182,Breast
0.466224,Breast
0.604762,Breast
0.484432,Breast
0.442789,Breast
0.460671,Breast
0.552448,Breast
0.717749,Breast
0.483385,Breast
0.403596,Breast
0.442925,Breast
0.334330,Breast
0.704327,Breast
0.447921,Breast
0.598686,Breast
0.444422,Breast
0.458273,Breast
0.547682,Breast
0.705582,Breast
0.727910,Breast
0.409842,Breast
0.711665,Breast
0.392857,Breast
0.534737,Breast
0.743679,Breast
0.399410,Breast
0.468004,Breast
0.526022,Breast
0.372798,Breast
0.351418,Breast
0.408858,Breast
0.366210,Breast
0.399818,Breast
0.521588,Breast
0.365874,Breast
0.388104,Breast
0.531667,Breast
0.429107,Breast
0.457089,Breast
0.368284,Breast
0.505080,Breast
0.555647,Breast
0.747386,Breast
0.569136,Breast
0.345291,Breast
0.570859,Breast
0.467617,Breast
0.386073,Breast
0.350767,Breast
0.532369,Breast
0.519411,Breast
0.493729,Breast
0.443956,Breast
0.524166,Breast
0.434353,Breast
0.455618,Breast
0.433773,Breast
0.464188,Breast
0.418583,Breast
0.414834,Breast
0.434617,Breast
0.516668,Breast
0.349907,Breast
0.373626,Breast
0.438076,Breast
0.399481,Breast
0.338985,Breast
0.367851,Breast
0.409780,Breast
0.512412,Breast
0.460788,Breast
0.634084,Breast
0.338307,Breast
0.471901,Breast
0.470572,Breast
0.368288,Breast
0.471020,Breast
0.437308,Breast
0.367156,Breast
0.388759,Breast
0.553120,Breast
0.360979,Breast
0.504692,Breast
0.470509,Breast
0.555856,Breast
0.541369,Breast
0.518092,Breast
0.438127,Breast
0.559079,Breast
0.538620,Breast
0.639756,Breast
0.438194,Breast
0.489211,Breast
0.438791,Breast
0.630449,Breast
0.395727,Breast
0.530837,Breast
0.472667,Breast
0.453637,Breast
0.443451,Breast
0.557660,Breast
0.488225,Breast
0.389201,Breast
0.351588,Breast
0.484329,Breast
0.554011,Breast
0.373476,Breast
0.392963,Breast
0.607567,Breast
0.639269,Breast
0.538876,Breast
0.633563,Breast
0.542246,Breast
0.666269,Breast
0.461683,Breast
0.517366,Breast
0.345588,Breast
0.580453,Breast
0.423440,Breast
0.359926,Breast
0.558870,Breast
0.489344,Breast
0.482474,Breast
0.524027,Breast
0.655969,Breast
0.617424,Breast
0.476943,Breast
0.294793,Breast
0.442744,Breast
0.449413,Breast
0.332886,Breast
0.492554,Breast
0.339234,Breast
0.523258,Breast
0.616131,Breast
0.473987,Breast
0.526409,Breast
0.494940,Breast
0.528431,Breast
0.444649,Breast
0.304558,Breast
0.482573,Breast
0.485590,Breast
0.384848,Breast
0.546094,Breast
0.473822,Breast
0.533290,Breast
0.574287,Breast
0.383707,Breast
0.487265,Breast
0.500594,Breast
0.506751,Breast
0.471717,Breast
0.644045,Breast
0.372462,Breast
0.454979,Breast
0.337090,Breast
0.339753,Breast
0.403461,Breast
0.407086,Breast
0.471711,Breast
0.483115,Breast
0.484127,Breast
0.372732,Breast
0.822135,Breast
0.589231,Breast
0.572477,Breast
0.544866,Breast
0.781818,Breast
0.732675,Breast
0.749219,Breast
0.280781,Breast
0.410053,Breast
0.111111,Breast
0.839039,Breast
0.378495,Breast
0.648987,Breast
0.284428,Breast
0.484601,Breast
0.404791,Breast
0.432626,Breast
0.514709,Breast
0.480435,Breast
0.522957,Breast
0.436391,Breast
0.464356,Breast
0.682111,Breast
0.748312,Breast
0.461005,Breast
0.447517,Breast
0.395920,Breast
0.420186,Breast
0.433548,Breast
0.441286,Breast
0.768498,Breast
0.421255,Breast
0.463955,Breast
0.320462,Breast
0.422795,Breast
0.502869,Breast
0.322479,Breast
0.467646,Breast
0.378830,Breast
0.436432,Breast
0.483113,Breast
0.521269,Breast
0.439206,Breast
0.429787,Breast
0.340263,Breast
0.575933,Breast
0.492938,Breast
0.414593,Breast
0.522531,Breast
0.469900,Breast
0.327169,Breast
0.431193,Breast
0.377275,Breast
0.396311,Breast
0.629505,Breast
0.660150,Breast
0.505838,Breast
0.417691,Breast
0.461307,Breast
0.503559,Breast
0.630096,Breast
0.411546,Breast
0.582445,Breast
0.633628,Breast
0.444987,Breast
0.482502,Breast
0.349421,Breast
0.493269,Breast
0.590422,Breast
0.420828,Breast
0.465596,Breast
0.472629,Breast
0.459416,Breast
0.523403,Breast
0.400896,Breast
0.534392,Breast
0.412199,Breast
0.532521,Breast
0.550051,Breast
0.483612,Breast
0.398234,Breast
0.350096,Breast
0.424230,Breast
0.451174,Breast
0.403386,Breast
0.412856,Breast
0.492469,Breast
0.472354,Breast
0.429425,Breast
0.445845,Breast
0.464045,Breast
0.521142,Breast
0.409379,Breast
0.414619,Breast
0.445203,Breast
0.435312,Breast
0.443092,Breast
0.558372,Breast
0.577390,Breast
0.502599,Breast
0.637056,Breast
0.445846,Breast
0.483218,Breast
0.496944,Breast
0.407201,Breast
0.453397,Breast
0.572442,Breast
0.505418,Breast
0.390798,Breast
0.374737,Breast
0.495018,Breast
0.411197,Breast
0.475810,Breast
0.440453,Breast
0.421746,Breast
0.489483,Breast
0.516681,Breast
0.427124,Breast
0.450009,Breast
0.419707,Breast
0.431439,Breast
0.409200,Breast
0.551674,Breast
0.805086,Breast
0.500473,Breast
0.664911,Breast
0.465696,Breast
0.345588,Breast
0.553042,Breast
0.547826,Breast
0.463524,Breast
0.494973,Breast
0.538735,Breast
0.410328,Breast
0.288964,Breast
0.534272,Breast
0.543962,Breast
0.473733,Breast
0.486182,Breast
0.538838,Breast
0.440562,Breast
0.337412,Breast
0.584493,Breast
0.485100,Breast
0.377134,Breast
0.471911,Breast
0.407258,Breast
0.385644,Breast
0.481079,Breast
0.472470,Breast
0.429836,Breast
0.494326,Breast
0.401271,Breast
0.361946,Breast
0.560606,Breast
0.328316,Breast
0.485410,Breast
0.478872,Breast
0.462632,Breast
0.414634,Breast
0.549692,Breast
0.513271,Breast
0.863235,Breast
0.727969,Breast
0.410452,Breast
0.478877,Breast
0.480776,Breast
0.432857,Breast
0.557726,Breast
0.421102,Breast
0.530785,Breast
0.463004,Breast
0.423262,Breast
0.611227,Breast
0.547022,Breast
0.580006,Breast
0.414041,Breast
0.363710,Breast
0.465366,Breast
0.552001,Breast
0.593601,Breast
0.484731,Breast
0.352311,Breast
0.488089,Breast
0.491472,Breast
0.340673,Breast
0.466926,Breast
0.422280,Breast
0.445647,Breast
0.520087,Breast
0.476219,Breast
0.461752,Breast
0.561071,Breast
0.377676,Breast
0.487474,Breast
0.379215,Breast
0.522786,Breast
0.528252,Breast
0.484210,Breast
0.495207,Breast
0.379685,Breast
0.465173,Breast
0.479187,Breast
0.415941,Breast
0.612655,Breast
0.455462,Breast
0.382988,Breast
0.590947,Breast
0.522165,Breast
0.805581,Breast
0.418211,Breast
0.400129,Breast
0.439251,Breast
0.394080,Breast
0.516127,Breast
0.604278,Breast
0.459244,Breast
0.451993,Breast
0.260274,Breast
0.453125,Breast
0.411862,Breast
0.324524,Breast
0.402656,Breast
0.621159,Breast
0.484872,Breast
0.356303,Breast
0.415094,Breast
0.306011,Breast
0.595685,Breast
0.301512,Breast
0.510990,Breast
0.349206,Breast
0.335512,Breast
0.489323,Breast
0.507874,Breast
0.506639,Breast
0.506713,Breast
0.425030,Breast
0.524687,Breast
0.458097,Breast
0.450529,Breast
0.351052,Breast
0.444026,Breast
0.472367,Breast
0.386107,Breast
0.341109,Breast
0.406880,Breast
0.412608,Breast
0.549497,Breast
0.313817,Breast
0.609541,Breast
0.508856,Breast
0.474648,Breast
0.555925,Breast
0.414940,Breast
0.383036,Breast
0.467766,Breast
0.478090,Breast
0.416702,Breast
0.473023,Breast
0.517614,Breast
0.395833,Breast
0.425428,Breast
0.466962,Breast
0.339636,Breast
0.461131,Breast
0.335254,Breast
0.443946,Breast
0.572289,Breast
0.547206,Breast
0.545303,Breast
0.488595,Breast
0.408375,Breast
0.621176,Breast
0.519427,Breast
0.433724,Breast
0.506989,Breast
0.419185,Breast
0.398209,Breast
0.512635,Breast
0.548215,Breast
0.509391,Breast
0.452788,Breast
0.561730,Breast
0.501662,Breast
0.320582,Breast
0.386088,Breast
0.513135,Breast
0.453093,Breast
0.325415,Breast
0.366327,Breast
0.439402,Breast
0.431844,Breast
0.521548,Breast
0.469055,Breast
0.552438,Breast
0.491747,Breast
0.357492,Breast
0.600400,Breast
0.461380,Breast
0.508669,Breast
0.350114,Breast
0.744127,Breast
0.533364,Breast
0.513228,Breast
0.437525,Breast
0.496482,Breast
0.351196,Breast
0.446306,Breast
0.489888,Breast
0.379336,Breast
0.333333,Breast
0.520221,Breast
0.415389,Breast
0.474484,Breast
0.704514,Breast
0.574380,Breast
0.494924,Breast
0.438686,Breast
0.472541,Breast
0.424555,Breast
0.568887,Breast
0.540581,Breast
0.529787,Breast
0.354231,Breast
0.391925,Breast
0.537458,Breast
0.456438,Breast
0.527932,Breast
0.605191,Breast
0.575082,Breast
0.499500,Breast
0.441405,Breast
0.445702,Breast
0.572013,Breast
0.553173,Breast
0.451948,Breast
0.338401,Breast
0.536036,Breast
0.465743,Breast
0.414747,Breast
0.405637,Breast
0.469692,Breast
0.502765,Breast
0.367980,Breast
0.357416,Breast
0.487389,Breast
0.413174,Breast
0.358003,Breast
0.539893,Breast
0.537702,Breast
0.509202,Breast
0.358471,Breast
0.478157,Breast
0.431469,Breast
0.411559,Breast
0.474351,Breast
0.391129,Breast
0.517170,Breast
0.606318,Breast
0.351103,Breast
0.493280,Breast
0.420919,Breast
0.438650,Breast
0.373028,Breast
0.573351,Breast
0.539139,Breast
0.480522,Breast
0.576965,Breast
0.500817,Breast
0.536505,Breast
0.519390,Breast
0.621688,Breast
0.523780,Breast
0.564134,Breast
0.620955,Breast
0.514730,Breast
0.540527,Breast
0.579241,Breast
0.445783,Breast
0.449370,Breast
0.403576,Breast
0.489626,Breast
0.459969,Breast
0.371634,Breast
0.321070,Breast
0.326089,Breast
0.531350,Breast
0.268817,Breast
0.446618,Breast
0.475045,Breast
0.482972,Breast
0.497253,Breast
0.209231,Breast
0.423718,Breast
0.418092,Breast
0.516694,Breast
0.550349,Breast
0.598772,Breast
0.545766,Breast
0.574174,Breast
0.563053,Breast
0.487195,Breast
0.483937,Breast
0.519262,Breast
0.334617,Breast
0.428148,Breast
0.446640,Breast
0.432881,Breast
0.673703,Breast
0.405014,Breast
0.350431,Breast
0.480991,Breast
0.662502,Breast
0.617650,Breast
0.399908,Breast
0.467625,Breast
0.372707,Breast
0.444087,Breast
0.520061,Breast
0.807882,Breast
0.408982,Breast
0.400759,Breast
0.551955,Breast
0.531172,Breast
0.471701,Breast
0.356598,Breast
0.458536,Breast
0.389724,Breast
0.438138,Breast
0.337767,Breast
0.371503,Breast
0.346910,Breast
0.389891,Breast
0.413341,Breast
0.481493,Breast
0.397243,Breast
0.462476,Breast
0.513175,Breast
0.367400,Breast
0.628363,Breast
0.461396,Breast
0.365875,Breast
0.469307,Breast
0.546303,Breast
0.422472,Breast
0.595985,Breast
0.495993,Breast
0.403516,Breast
0.538233,Breast
0.451851,Breast
0.419283,Breast
0.487727,Breast
0.462660,Breast
0.450759,Breast
0.550639,Breast
0.484544,Breast
0.517407,Breast
0.478536,Breast
0.533630,Breast
0.500000,Breast
0.583787,Breast
0.626326,Breast
0.445018,Breast
0.357069,Breast
0.322696,Breast
0.386894,Breast
0.664495,Breast
0.539096,Breast
0.493255,Breast
0.357818,Breast
0.372896,Breast
0.364271,Breast
0.514357,Breast
0.492228,Breast
0.444635,Breast
0.577453,Breast
0.405343,Breast
0.552059,Breast
0.360046,Breast
0.306212,Breast
0.417693,Breast
0.402136,Breast
0.520068,Breast
0.382323,Breast
0.389247,Breast
0.399264,Breast
0.462204,Breast
0.501740,Breast
0.566778,Breast
0.709211,Breast
0.391671,Breast
0.584432,Breast
0.461083,Breast
0.691912,Breast
0.382280,Breast
0.493048,Breast
0.650360,Breast
0.579081,Breast
0.453659,Breast
0.451880,Breast
0.630921,Breast
0.567225,Breast
0.278826,Breast
0.493243,Breast
0.621654,Breast
0.475924,Breast
0.469127,Breast
0.321376,Breast
0.551025,Breast
0.383962,Breast
0.295439,Breast
0.367413,Breast
0.441466,Breast
0.439752,Breast
0.651779,Breast
0.383108,Breast
0.336335,Breast
0.415942,Breast
0.419236,Breast
0.381285,Breast
0.485074,Breast
0.540656,Breast
0.533333,Breast
0.519054,Breast
0.377448,Breast
0.458302,Breast
0.513648,Breast
0.474203,Breast
0.432343,Breast
0.322303,Breast
0.507071,Breast
0.527188,Breast
0.335171,Breast
0.412148,Breast
0.393007,Breast
0.531521,Breast
0.394318,Breast
0.687114,Breast
0.458674,Breast
0.564249,Breast
0.386349,Breast
0.579600,Breast
0.409817,Breast
0.447177,Breast
0.479095,Breast
0.476351,Breast
0.386679,Breast
0.419600,Breast
0.543358,Breast
0.356312,Breast
0.631941,Breast
0.472283,Breast
0.309244,Breast
0.406828,Breast
0.464119,Breast
0.524417,Breast
0.516893,Breast
0.344441,Breast
0.548298,Breast
0.453776,Breast
0.450075,Breast
0.462350,Breast
0.394347,Breast
0.409505,Breast
0.471839,Breast
0.516484,Breast
0.462426,Breast
0.607952,Breast
0.499933,Breast
0.550277,Breast
0.714286,Breast
0.566028,Breast
0.441584,Breast
0.509556,Breast
0.483165,Breast
0.668742,Breast
0.402329,Breast
0.484764,Breast
0.384424,Breast
0.614560,Breast
0.435203,Breast
0.418246,Breast
0.530885,Breast
0.429120,Breast
0.524975,Breast
0.561887,Breast
0.423422,Breast
0.695356,Breast
0.744534,Breast
0.266667,Breast
0.476823,Breast
0.517882,Breast
0.450088,Breast
0.415688,Breast
0.388116,Breast
0.379380,Breast
0.489109,Breast
0.415134,Breast
0.471510,Breast
0.518500,Breast
0.406593,Breast
0.424014,Breast
0.436662,Breast
0.531905,Breast
0.453279,Breast
0.562244,Breast
0.379073,Breast
0.741691,Breast
0.350010,Breast
0.512900,Breast
0.802381,Breast
0.367711,Breast
0.577422,Breast
0.420290,Breast
0.519814,Breast
0.471717,Breast
0.639596,Breast
0.523050,Breast
0.378346,Breast
0.587791,Breast
0.555556,Breast
0.415238,Breast
0.263415,Breast
0.494224,Breast
0.389567,Breast
0.542347,Breast
0.528193,Breast
0.531274,Breast
0.411040,Breast
0.421815,Breast
0.405403,Breast
0.339481,Breast
0.428130,Breast
0.491357,Breast
0.480614,Breast
0.554924,Breast
0.428899,Breast
0.453161,Breast
0.581660,Breast
0.509091,Breast
0.425179,Breast
0.447910,Breast
0.577216,Breast
0.496429,Breast
0.447483,Breast
0.376923,Breast
0.356254,Breast
0.475932,Breast
0.452470,Breast
0.453493,Breast
0.532069,Breast
0.362845,Breast
0.317222,Breast
0.552358,Breast
0.470372,Breast
0.486350,Breast
0.530003,Breast
0.433988,Breast
0.511726,Breast
0.619798,Breast
0.405946,Breast
0.480124,Breast
0.638469,Breast
0.468031,Breast
0.348266,Breast
0.326058,Breast
0.272518,Breast
0.462910,Breast
0.403240,Breast
0.557623,Breast
0.362876,Breast
0.434415,Breast
0.573461,Breast
0.445850,Breast
0.429674,Breast
0.359574,Breast
0.516178,Breast
0.473348,Breast
0.566131,Breast
0.438789,Breast
0.533004,Breast
0.637605,Breast
0.413521,Breast
0.535510,Breast
0.450483,Breast
0.376941,Breast
0.444476,Breast
0.283734,Breast
0.373311,Breast
0.521549,Breast
0.420579,Breast
0.359144,Breast
0.527899,Breast
0.421041,Breast
0.454088,Breast
0.389350,Breast
0.349253,Breast
0.496036,Breast
0.511990,Breast
0.468304,Breast
0.350023,Breast
0.350000,Breast
0.509274,Breast
0.330053,Breast
0.514425,Breast
0.375217,Breast
0.528066,Breast
0.280160,Breast
0.542500,Breast
0.473372,Breast
0.525498,Breast
0.465309,Breast
0.440165,Breast
0.365749,Breast
0.408584,Breast
0.473529,Breast
0.420041,Breast
0.518261,Breast
0.452935,Breast
0.488436,Breast
0.491170,Breast
0.421722,Breast
0.601678,Breast
0.483220,Breast
0.410491,Breast
0.506860,Breast
0.494982,Breast
0.346612,Breast
0.416743,Breast
0.361276,Breast
0.487609,Breast
0.540715,Breast
0.534541,Breast
0.641005,Breast
0.417583,Breast
0.455181,Breast
0.590487,Breast
0.584846,Breast
0.483176,Breast
0.626934,Breast
0.636027,Breast
0.413321,Breast
0.454006,Breast
0.515149,Breast
0.373990,Breast
0.446556,Breast
0.412750,Breast
0.440736,Breast
0.373155,Breast
0.448500,Breast
0.506200,Breast
0.323810,Breast
0.769171,Breast
0.699634,Breast
0.626337,Breast
0.546496,Breast
0.515239,Breast
0.308824,Breast
0.622846,Breast
0.346405,Breast
0.541574,Breast
0.498043,Breast
0.484962,Breast
0.492741,Breast
0.427781,Breast
0.470491,Breast
0.544242,Breast
0.531948,Breast
0.436164,Breast
0.375574,Breast
0.458595,Breast
0.444449,Breast
0.382615,Breast
0.416373,Breast
0.402619,Breast
0.619849,Breast
0.438222,Breast
0.464052,Breast
0.514456,Breast
0.342394,Breast
0.384131,Breast
0.588665,Breast
0.449700,Breast
0.586145,Breast
0.431567,Breast
0.497394,Breast
0.563846,Breast
0.480814,Breast
0.463834,Breast
0.578869,Breast
0.433180,Breast
0.457378,Breast
0.422595,Breast
0.428054,Breast
0.658128,Breast
0.495907,Breast
0.525450,Breast
0.525170,Breast
0.382791,Breast
0.330582,Breast
0.361271,Breast
0.466884,Breast
0.326523,Breast
0.364974,Breast
0.403072,Breast
0.699298,Breast
0.617887,Breast
0.552683,Breast
0.361905,Breast
0.425761,Breast
0.601806,Breast
0.487402,Breast
0.728129,Breast
0.574230,Breast
0.300470,Breast
0.408477,Breast
0.415980,Breast
0.405832,Breast
0.651218,Breast
0.609274,Breast
0.508451,Breast
0.687678,Breast
0.581192,Breast
0.652624,Breast
0.689093,Breast
0.429286,Breast
0.586699,Breast
0.414392,Breast
0.457337,Breast
0.460995,Breast
0.682754,Breast
0.687406,Breast
0.487238,Breast
0.561898,Breast
0.555367,Breast
0.420473,Breast
0.475247,Breast
0.784486,Breast
0.366488,Breast
0.791369,Breast
0.505483,Breast
0.438295,Breast
0.572939,Breast
0.378406,Breast
0.684636,Breast
0.491353,Breast
0.361836,Breast
0.573528,Breast
0.401374,Breast
0.394583,Breast
0.397100,Breast
0.520713,Breast
0.413085,Breast
0.443661,Breast
0.450105,Breast
0.466713,Breast
0.450951,Breast
0.496548,Breast
0.516359,Breast
0.536550,Breast
0.474116,Breast
0.460391,Breast
0.469019,Breast
0.397387,Breast
0.425114,Breast
0.521314,Breast
0.412217,Breast
0.470018,Breast
0.467281,Breast
0.407364,Breast
0.462624,Breast
0.515464,Breast
0.407136,Breast
0.440764,Breast
0.514853,Breast
0.488240,Breast
0.498598,Breast
0.360268,Breast
0.457332,Breast
0.482915,Breast
0.477567,Breast
0.550788,Breast
0.356800,Breast
0.476625,Breast
0.600411,Breast
0.535597,Breast
0.395113,Breast
0.424127,Breast
0.491701,Breast
0.494975,Breast
0.444098,Breast
0.593407,Breast
0.445327,Breast
0.311392,Breast
0.557102,Breast
0.413531,Breast
0.498477,Breast
0.335919,Breast
0.508854,Breast
0.534961,Breast
0.305952,Breast
0.517830,Breast
0.466408,Breast
0.582219,Breast
0.666439,Breast
0.511414,Breast
0.556272,Breast
0.377612,Breast
0.447659,Breast
0.465638,Breast
0.718775,Breast
0.302987,Breast
0.470559,Breast
0.696337,Breast
0.594184,Breast
0.422447,Breast
0.516937,Breast
0.444739,Breast
0.442980,Breast
0.397363,Breast
0.747520,Breast
0.555656,Breast
0.560832,Breast
0.491090,Breast
0.591667,Breast
0.439560,Breast
0.691411,Breast
0.369712,Breast
0.480017,Breast
0.374637,Breast
0.500565,Breast
0.435181,Breast
0.849754,Breast
0.403786,Breast
0.524479,Breast
0.455270,Breast
0.603252,Breast
0.690668,Breast
0.420788,Breast
0.466795,Breast
0.349072,Breast
0.409950,Breast
0.540060,Breast
0.494664,Breast
0.311759,Breast
0.372780,Breast
0.534733,Breast
0.457110,Breast
0.481252,Breast
0.534558,Breast
0.467614,Breast
0.575429,Breast
0.392174,Breast
0.467586,Breast
0.452392,Breast
0.468985,Breast
0.609368,Breast
0.466558,Breast
0.419384,Breast
0.407229,Breast
0.504261,Breast
0.549431,Breast
0.437462,Breast
0.495686,Breast
0.510250,Breast
0.377174,Breast
0.241667,Breast
0.423675,Breast
0.458268,Breast
0.366271,Breast
0.513255,Breast
0.341585,Breast
0.585461,Breast
0.360303,Breast
0.446169,Breast
0.387797,Breast
0.495917,Breast
0.343830,Breast
0.453624,Breast
0.413443,Breast
0.453205,Breast
0.543622,Breast
0.464835,Breast
0.506491,Breast
0.505480,Breast
0.431883,Breast
0.434405,Breast
0.548875,Breast
0.533176,Breast
0.541312,Breast
0.341523,Breast
0.457143,Breast
0.383162,Breast
0.367588,Breast
0.470167,Breast
0.436387,Breast
0.678838,Breast
0.565086,Breast
0.721344,Breast
0.309293,Breast
0.480807,Breast
0.498867,Breast
0.338564,Breast
0.576388,Breast
0.432157,Breast
0.407695,Breast
0.492205,Breast
0.398541,Breast
0.511358,Breast
0.422675,Breast
0.402874,Breast
0.740304,Breast
0.649275,Breast
0.645425,Breast
0.509371,Breast
0.452637,Breast
0.470616,Breast
0.467288,Breast
0.474734,Breast
0.501159,Breast
0.329563,Breast
0.468426,Breast
0.489123,Breast
0.373046,Breast
0.420809,Breast
0.417915,Breast
0.445017,Breast
0.474101,Breast
0.464360,Breast
0.377959,Breast
0.395047,Breast
0.349013,Breast
0.370968,Breast
0.474863,Breast
0.450811,Breast
0.477820,Breast
0.522476,Breast
0.390769,Breast
0.398623,Breast
0.413706,Breast
0.366188,Breast
0.512141,Breast
0.644339,Breast
0.338126,Breast
0.544855,Breast
0.543335,Breast
0.337546,Breast
0.360504,Breast
0.553129,Breast
0.514857,Breast
0.367888,Breast
0.447368,Breast
0.436915,Breast
0.373478,Breast
0.779963,Breast
0.738235,Breast
0.597674,Breast
0.381818,Breast
0.531340,Breast
0.556544,Breast
0.433938,Breast
0.336638,Breast
0.486170,Breast
0.556518,Breast
0.303968,Breast
0.571497,Breast
0.440203,Breast
0.661195,Breast
0.419284,Breast
0.373732,Breast
0.527286,Breast
0.284435,Breast
0.480720,Breast
0.734897,Breast
0.493186,Breast
0.310837,Breast
0.510848,Breast
0.471464,Breast
0.547936,Breast
0.386550,Breast
0.621318,Breast
0.489489,Breast
0.430043,Breast
0.434777,Breast
0.709595,Breast
0.450694,Breast
0.449772,Breast
0.689516,Breast
0.590009,Breast
0.565327,Breast
0.403202,Breast
0.535608,Breast
0.484205,Breast
0.501088,Breast
0.491154,Breast
0.501823,Breast
0.397069,Breast
0.457254,Breast
0.633787,Breast
0.573257,Breast
0.567921,Breast
0.540460,Breast
0.512218,Breast
0.775304,Breast
0.366772,Breast
0.570807,Breast
0.440945,Breast
0.533338,Breast
0.435127,Breast
0.396856,Breast
0.334597,Breast
0.532762,Breast
0.417069,Breast
0.545140,Breast
0.482977,Breast
0.390577,Breast
0.417859,Breast
0.431878,Breast
0.454103,Breast
0.510983,Breast
0.372086,Breast
0.521588,Breast
0.403272,Breast
0.256110,Breast
0.497190,Breast
0.353198,Breast
0.466667,Breast
